policy_id,policy_region,country,object_scope,policy_status,start_year,end_year,collection_rate_floor,li_recovery_efficiency_floor,recycled_content_li_min,traceability_requirement,battery_passport_requirement,epr_strength,storage_deployment_target_gwh,ev_sales_target,domestic_content_pressure,hazardous_transport_penalty,source_basis,source_url,notes
EU_BATT_REG_EV_2027,EU,,ev_power_battery,in_force,2027,2030,,0.50,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.
EU_BATT_REG_EV_2031,EU,,ev_power_battery,in_force,2031,2035,,0.80,0.06,0.9,1.0,0.9,,,0.4,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation lithium recovery and minimum recycled lithium content for EV batteries from 2031.
EU_BATT_REG_EV_2036,EU,,ev_power_battery,in_force,2036,2050,,0.80,0.12,0.9,1.0,0.9,,,0.4,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation second-stage recycled lithium content from 2036.
EU_BATT_REG_STORAGE_2027,EU,,stationary_storage_battery,in_force,2027,2030,,0.50,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU industrial battery rules are used as the closest policy proxy for stationary storage batteries.
EU_BATT_REG_STORAGE_2031,EU,,stationary_storage_battery,in_force,2031,2035,,0.80,0.06,0.9,1.0,0.9,,,0.4,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU industrial battery minimum recycled lithium content and battery passport requirements from 2031.
EU_BATT_REG_STORAGE_2036,EU,,stationary_storage_battery,in_force,2036,2050,,0.80,0.12,0.9,1.0,0.9,,,0.4,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU industrial battery second-stage recycled lithium content from 2036.
CHN_POWER_BATT_2024,China,China,ev_power_battery,in_force,2025,2050,0.70,0.90,,1.0,0.4,0.9,,,0.3,0.2,regulation_proxy,https://wap.miit.gov.cn/xwfb/gxdt/sjdt/art/2024/art_7c15af2a502341adacec6c44d16da11b.html,China 2024 comprehensive-utilization specification raises metallurgical lithium recovery requirement to at least 90 percent for qualified firms.
CHN_POWER_BATT_2026,China,China,ev_power_battery,in_force,2026,2050,0.75,0.90,,1.0,0.4,1.0,,,0.3,0.2,regulation,https://wap.miit.gov.cn/gyhxxhb/jgsj/cyzcyfgs/bmgz/jdcjxl/art/2026/art_392462fdc40c415ea4a4129cac3028c2.html,China interim measures for old NEV power battery recycling and comprehensive utilization enter into force on 2026-04-01.
CHN_NEW_STORAGE_2027,China,China,stationary_storage_battery,target,2027,2027,0.35,,,0.3,0.2,0.4,180,,0.2,0.1,official_target,https://www.ndrc.gov.cn/xwdt/tzgg/202509/t20250912_1400427.html,China new energy storage target reaches more than 180 GW by 2027; model as demand expansion and future retirement pressure rather than strict current recycling mandate.
USA_IRA_EV_MINERALS,USA,USA,ev_power_battery,in_force,2025,2050,,,0.00,0.4,0.2,0.3,,,0.8,0.2,regulation,https://www.irs.gov/irb/2024-22_IRB,US clean vehicle credit critical mineral sourcing requirement rises from 60 percent in 2025 to 80 percent in 2027 and later; model as domestic/allied supply-chain pressure rather than recycled-content mandate.
USA_EPA_LI_ION_WASTE,USA,USA,all_battery,in_force,2025,2050,0.35,,,0.3,0.1,0.4,,,0.4,0.5,regulation_proxy,https://www.epa.gov/hw/lithium-ion-battery-recycling,US EPA treats most discarded lithium-ion batteries as likely hazardous waste due to ignitability/reactivity; model as transport and handling penalty.
USA_STORAGE_2030,USA,USA,stationary_storage_battery,target,2025,2030,,,,0.2,0.1,0.3,,,0.6,0.1,official_target,https://www.energy.gov/energy-storage-grand-challenge/articles/energy-storage-grand-challenge-roadmap,DOE Energy Storage Grand Challenge targets domestic manufacturing for all market demands by 2030 and long-duration storage cost reductions.
IND_BWM_EPR,India,India,all_battery,in_force,2025,2050,0.45,,,0.6,0.2,0.8,,,0.2,0.2,regulation,https://www.iea.org/policies/25166-battery-waste-management-rules-2022,India Battery Waste Management Rules use EPR for batteries including EV and industrial batteries; implementation quality should be sensitivity-tested.
IND_STORAGE_OBLIGATION,India,India,stationary_storage_battery,in_force,2025,2030,0.45,,,0.3,0.1,0.5,,0,0.2,0.1,official_target,https://mnre.gov.in/en/energy-storage-systemsess-overview/,India energy storage obligation rises from 1 percent in FY2023-24 to 4 percent by FY2029-30 and requires at least 85 percent renewable-source stored energy.
IND_PM_EDRIVE,India,India,ev_power_battery,target,2025,2028,0.45,,,0.4,0.1,0.6,,,0.3,0.1,official_target,https://pmedrive.heavyindustries.gov.in/,PM E-DRIVE supports EV adoption and charging infrastructure; model mainly as EV stock and future EOL growth pressure.
CAN_ZEV_STANDARD_2026,Canada,Canada,ev_power_battery,in_force,2026,2029,0.35,,,0.3,0.1,0.4,,0.20,0.4,0.1,regulation,https://www.canada.ca/en/environment-climate-change/news/2023/12/canadas-electric-vehicle-availability-standard-regulated-targets-for-zero-emission-vehicles.html,Canada ZEV sales target starts at 20 percent in 2026.
CAN_ZEV_STANDARD_2030,Canada,Canada,ev_power_battery,in_force,2030,2034,0.35,,,0.3,0.1,0.4,,0.60,0.4,0.1,regulation,https://www.canada.ca/en/environment-climate-change/news/2023/12/canadas-electric-vehicle-availability-standard-regulated-targets-for-zero-emission-vehicles.html,Canada ZEV sales target reaches 60 percent in 2030.
CAN_ZEV_STANDARD_2035,Canada,Canada,ev_power_battery,in_force,2035,2050,0.35,,,0.3,0.1,0.4,,1.00,0.4,0.1,regulation,https://www.canada.ca/en/environment-climate-change/news/2023/12/canadas-electric-vehicle-availability-standard-regulated-targets-for-zero-emission-vehicles.html,Canada ZEV sales target reaches 100 percent in 2035 and later.
CAN_CRITICAL_MINERALS,Canada,Canada,all_battery,target,2025,2050,,,,0.2,0.1,0.3,,,0.5,0.1,official_strategy,https://www.canada.ca/en/campaign/critical-minerals-in-canada/canadian-critical-minerals-strategy.html,Canada critical minerals strategy covers value chains from exploration to recycling.
JPN_ELECTRIFIED_2035,Japan,Japan,ev_power_battery,target,2035,2050,0.35,,,0.3,0.1,0.4,,1.00,0.4,0.1,official_target,https://www.meti.go.jp/english/press/2023/0626_002.html,Japan targets all new passenger vehicle sales as electrified vehicles by 2035; includes HEV so it is weaker than a pure BEV mandate.
JPN_BATTERY_STORAGE_2030,Japan,Japan,stationary_storage_battery,target,2030,2030,0.30,,,0.2,0.1,0.3,24,,0.5,0.1,official_strategy,https://www.meti.go.jp/english/policy/energy_environment/global_warming/pdf/ggs_full_en.pdf,Japan Green Growth Strategy targets about 24 GWh cumulative household and commercial or industrial storage by 2030.
KOR_EV_BATT_CIRCULARITY,Korea,Korea,ev_power_battery,announced,2025,2050,0.40,,,0.5,0.1,0.5,,,0.5,0.1,regulation_proxy,https://www.iea.org/policies/17988-amendment-to-waste-management-act-includes-standards-to-improve-circularity-of-ev-battery-wastes,Korea waste-management amendment improves circularity conditions for EV battery waste and extends storage/treatment period for recyclable waste.
AUS_BCYCLE,AUS,Australia,all_battery,in_force,2025,2050,0.30,,,0.3,0.1,0.4,,,0.2,0.1,stewardship_scheme,https://bcycle.com.au/,Australia B-cycle is a government-backed stewardship scheme; model as moderate collection support with lower hard-regulatory strength for large EV batteries.
