type,recycling_m,battery_type_fit,notes
LFP,Pyro,0.35,"Low economic value for smelting-focused metal recovery and weak Li recovery."
LFP,Hydro,0.70,"Hydro can recover Li but lacks Ni/Co value benefit."
LFP,Direct,0.72,"Potentially useful for sorted LFP streams, but economics depend on relithiation and cathode value."
NCA,Pyro,0.75,"Robust route for Ni/Co-bearing chemistries but poor Li recovery."
NCA,Hydro,0.92,"Strong fit for Ni/Co/Li recovery from black mass."
NCA,Direct,0.82,"Potentially strong if sorted and cathode integrity is suitable."
NMC111,Pyro,0.78,"Can recover valuable Ni/Co/Cu but sacrifices Li."
NMC111,Hydro,0.94,"High fit for multi-metal recovery."
NMC111,Direct,0.82,"Good fit when feedstock is sorted and cathode restoration is feasible."
NMC523,Pyro,0.78,"Can recover valuable Ni/Co/Cu but sacrifices Li."
NMC523,Hydro,0.94,"High fit for multi-metal recovery."
NMC523,Direct,0.84,"Good fit for sorted cathode streams."
NMC622,Pyro,0.78,"Can recover valuable Ni/Co/Cu but sacrifices Li."
NMC622,Hydro,0.94,"High fit for multi-metal recovery."
NMC622,Direct,0.85,"Good fit for sorted cathode streams."
NMC811,Pyro,0.75,"High Ni value but poor Li recovery."
NMC811,Hydro,0.92,"Strong high-Ni black-mass recovery route."
NMC811,Direct,0.86,"Strong potential for sorted high-Ni cathode regeneration."
