country_group,recycling_m,year,availability,maturity_score,capability_score,complexity_penalty,policy_bonus,notes
developed,Pyro,2025,1.00,0.95,0.90,0.20,-0.10,"Commercially mature but carbon-intensive and weak for Li recovery."
developed,Hydro,2025,1.00,0.85,0.85,0.30,0.05,"Mature high-recovery route with regulatory and chemical-management capacity."
developed,Direct,2025,0.60,0.55,0.70,0.45,0.10,"Promising route; limited by sorting, diagnosis, and scale-up."
developed,Pyro,2030,1.00,0.95,0.90,0.22,-0.12,"Higher carbon-policy pressure over time."
developed,Hydro,2030,1.00,0.90,0.90,0.28,0.06,"Improving operational maturity."
developed,Direct,2030,0.78,0.68,0.78,0.40,0.12,"Faster commercialization in mature markets."
developed,Pyro,2040,1.00,0.92,0.88,0.25,-0.15,"Still available but increasingly penalized by carbon policy."
developed,Hydro,2040,1.00,0.93,0.92,0.26,0.06,"Highly mature high-recovery route."
developed,Direct,2040,0.95,0.85,0.88,0.30,0.15,"Commercially mature direct regeneration in sorted streams."
ev_producer,Pyro,2025,1.00,0.90,0.85,0.20,-0.05,"Robust treatment route for mixed battery streams."
ev_producer,Hydro,2025,1.00,0.75,0.75,0.35,0.05,"Growing industrial capacity but uneven environmental management."
ev_producer,Direct,2025,0.40,0.45,0.60,0.50,0.05,"Pilot-to-early commercial direct recycling."
ev_producer,Pyro,2030,1.00,0.90,0.85,0.22,-0.08,"Carbon policy gradually reduces attractiveness."
ev_producer,Hydro,2030,1.00,0.85,0.82,0.32,0.06,"Industrial scaling improves process capability."
ev_producer,Direct,2030,0.65,0.62,0.72,0.42,0.10,"Deployment expands with battery manufacturing ecosystems."
ev_producer,Pyro,2040,1.00,0.88,0.82,0.25,-0.12,"Available but less favored under resource-security goals."
ev_producer,Hydro,2040,1.00,0.90,0.88,0.28,0.06,"Mature recycling route."
ev_producer,Direct,2040,0.90,0.82,0.85,0.32,0.14,"Strong direct-recycling deployment in producer economies."
other,Pyro,2025,0.80,0.80,0.55,0.20,-0.05,"Accessible via simpler or traded treatment chains."
other,Hydro,2025,0.40,0.55,0.40,0.45,0.00,"Limited by chemical management and infrastructure."
other,Direct,2025,0.10,0.25,0.20,0.65,0.00,"Mostly unavailable locally except through specialized trade networks."
other,Pyro,2030,0.85,0.82,0.58,0.22,-0.07,"Still most accessible among advanced routes."
other,Hydro,2030,0.55,0.65,0.52,0.42,0.02,"Gradual capacity growth."
other,Direct,2030,0.25,0.42,0.35,0.58,0.04,"Early adoption where sorting and trade networks improve."
other,Pyro,2040,0.90,0.82,0.62,0.25,-0.10,"Available but penalized by emissions."
other,Hydro,2040,0.75,0.78,0.68,0.35,0.04,"Broader deployment through technology diffusion."
other,Direct,2040,0.55,0.65,0.58,0.45,0.08,"Selective deployment in better-sorted or imported streams."
